"","vesselCode","obs_foID","opeID","Subarea","Target","SettingStartDatetime","SettingStartLatitude","SettingStartLongitude","SettingStartDepth","species3ACode","speciesScientificName","speciesEnglishName","bsLength_cm","bsWeight_Kg","bsSex","src","datasetID","Season","MU"
"32",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",68,3,"M","OBS",165,2020,"DC"
"33",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",80,6,"M","OBS",165,2020,"DC"
"34",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",84,6,"M","OBS",165,2020,"DC"
"35",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",122,20,"F","OBS",165,2020,"DC"
"36",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",78,4.9,"M","OBS",165,2020,"DC"
"37",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",130,23,"F","OBS",165,2020,"DC"
"38",30,"O10549",NA,"3b","TOP",2020-02-22 14:20:00,-44.7268,45.7486,1637,"TOP","Dissostichus eleginoides","Patagonian toothfish",61,1.9,"M","OBS",165,2020,"DC"
"39",30,"O10549",NA,"3b","TOP",2020-02-22 14:20:00,-44.7268,45.7486,1637,"TOP","Dissostichus eleginoides","Patagonian toothfish",62,2.2,"F","OBS",165,2020,"DC"
"40",30,"O10549",NA,"3b","TOP",2020-02-22 14:20:00,-44.7268,45.7486,1637,"TOP","Dissostichus eleginoides","Patagonian toothfish",65,2.8,"F","OBS",165,2020,"DC"
"41",30,"O10549",NA,"3b","TOP",2020-02-22 14:20:00,-44.7268,45.7486,1637,"TOP","Dissostichus eleginoides","Patagonian toothfish",80,5.5,"F","OBS",165,2020,"DC"
